ID,Rep,Landmark,X,Y
Leaf_24c,2,1,14.114,20.57
Leaf_24c,2,2,13.787,26.071
Leaf_24c,2,3,13.624,25.666
Leaf_24c,2,4,14.088,25.547
Leaf_24c,2,5,13.884,24.372
Leaf_24c,2,6,11.95,24.229
Leaf_24c,2,7,15.705,24.517
Leaf_24c,2,8,12.438,23.06
Leaf_24c,2,9,15.393,23.453
Leaf_24c,2,10,12.816,25.178
Leaf_24c,2,11,14.69,25.305
Leaf_24c,2,12,13.449,25.201
Leaf_24c,2,13,14.345,24.982
Leaf_24c,2,14,13.251,24.54
Leaf_24c,2,15,14.698,24.194
Leaf_24b,2,1,13.252,20.706
Leaf_24b,2,2,13.336,26.323
Leaf_24b,2,3,13.258,26.222
Leaf_24b,2,4,13.538,26.149
Leaf_24b,2,5,13.333,24.999
Leaf_24b,2,6,11.288,25.216
Leaf_24b,2,7,15.516,24.763
Leaf_24b,2,8,11.481,24.421
Leaf_24b,2,9,15.157,23.886
Leaf_24b,2,10,12.293,25.844
Leaf_24b,2,11,14.508,25.781
Leaf_24b,2,12,12.951,25.729
Leaf_24b,2,13,13.867,25.715
Leaf_24b,2,14,12.641,25.27
Leaf_24b,2,15,14.138,25.242
Leaf_24a,2,1,12.984,20.135
Leaf_24a,2,2,12.773,24.577
Leaf_24a,2,3,12.473,24.181
Leaf_24a,2,4,13.308,24.098
Leaf_24a,2,5,12.843,23.72
Leaf_24a,2,6,11.259,23.572
Leaf_24a,2,7,14.667,23.882
Leaf_24a,2,8,11.719,22.299
Leaf_24a,2,9,14.389,23.0
Leaf_24a,2,10,11.959,24.216
Leaf_24a,2,11,13.763,24.348
Leaf_24a,2,12,12.289,23.889
Leaf_24a,2,13,13.672,23.484
Leaf_24a,2,14,12.159,23.453
Leaf_24a,2,15,13.748,23.245
Leaf_23b,2,1,13.776,20.16
Leaf_23b,2,2,13.836,24.744
Leaf_23b,2,3,13.605,24.354
Leaf_23b,2,4,14.027,24.354
Leaf_23b,2,5,13.865,23.588
Leaf_23b,2,6,12.472,23.675
Leaf_23b,2,7,15.549,23.443
Leaf_23b,2,8,12.732,22.66
Leaf_23b,2,9,15.244,22.468
Leaf_23b,2,10,13.04,24.387
Leaf_23b,2,11,14.741,24.14
Leaf_23b,2,12,13.354,23.789
Leaf_23b,2,13,14.432,23.843
Leaf_23b,2,14,13.152,23.319
Leaf_23b,2,15,14.586,23.542
Leaf_23a,2,1,13.064,19.078
Leaf_23a,2,2,12.878,23.664
Leaf_23a,2,3,12.695,23.445
Leaf_23a,2,4,13.122,23.248
Leaf_23a,2,5,12.92,22.434
Leaf_23a,2,6,11.283,22.473
Leaf_23a,2,7,14.604,22.384
Leaf_23a,2,8,11.681,21.636
Leaf_23a,2,9,14.108,21.167
Leaf_23a,2,10,12.026,23.228
Leaf_23a,2,11,13.936,23.317
Leaf_23a,2,12,12.431,22.869
Leaf_23a,2,13,13.494,22.681
Leaf_23a,2,14,12.246,22.359
Leaf_23a,2,15,13.708,22.147
Leaf_22b,2,1,13.495,15.588
Leaf_22b,2,2,13.319,26.013
Leaf_22b,2,3,13.135,25.701
Leaf_22b,2,4,13.436,25.829
Leaf_22b,2,5,13.137,23.447
Leaf_22b,2,6,9.788,23.912
Leaf_22b,2,7,15.946,22.992
Leaf_22b,2,8,10.08,22.234
Leaf_22b,2,9,15.516,21.657
Leaf_22b,2,10,11.702,24.473
Leaf_22b,2,11,14.47,24.208
Leaf_22b,2,12,12.747,24.618
Leaf_22b,2,13,13.753,23.912
Leaf_22b,2,14,12.304,23.478
Leaf_22b,2,15,14.069,22.746
Leaf_22a,2,1,13.776,17.043
Leaf_22a,2,2,13.486,23.917
Leaf_22a,2,3,13.419,23.873
Leaf_22a,2,4,13.588,23.836
Leaf_22a,2,5,13.484,22.994
Leaf_22a,2,6,10.725,23.08
Leaf_22a,2,7,16.129,22.929
Leaf_22a,2,8,10.887,21.87
Leaf_22a,2,9,15.829,21.848
Leaf_22a,2,10,12.071,23.666
Leaf_22a,2,11,14.89,23.567
Leaf_22a,2,12,12.955,23.337
Leaf_22a,2,13,14.01,23.259
Leaf_22a,2,14,12.481,22.693
Leaf_22a,2,15,14.346,22.682
Leaf_21c,2,1,13.461,17.458
Leaf_21c,2,2,12.926,23.415
Leaf_21c,2,3,12.683,23.098
Leaf_21c,2,4,13.057,23.204
Leaf_21c,2,5,12.862,22.051
Leaf_21c,2,6,10.513,21.938
Leaf_21c,2,7,15.101,22.168
Leaf_21c,2,8,10.946,20.929
Leaf_21c,2,9,14.791,21.111
Leaf_21c,2,10,11.693,22.733
Leaf_21c,2,11,13.949,22.632
Leaf_21c,2,12,12.366,22.3
Leaf_21c,2,13,13.404,21.986
Leaf_21c,2,14,12.062,21.146
Leaf_21c,2,15,13.605,21.224
Leaf_21b,2,1,13.258,14.2
Leaf_21b,2,2,13.245,21.975
Leaf_21b,2,3,13.062,21.715
Leaf_21b,2,4,13.364,21.76
Leaf_21b,2,5,13.177,20.41
Leaf_21b,2,6,10.606,20.555
Leaf_21b,2,7,15.64,20.269
Leaf_21b,2,8,10.876,19.496
Leaf_21b,2,9,15.26,19.204
Leaf_21b,2,10,11.947,21.28
Leaf_21b,2,11,14.412,21.091
Leaf_21b,2,12,12.761,20.983
Leaf_21b,2,13,13.673,20.926
Leaf_21b,2,14,12.386,20.083
Leaf_21b,2,15,13.899,20.288
Leaf_21a,2,1,13.325,18.777
Leaf_21a,2,2,13.546,25.019
Leaf_21a,2,3,13.453,24.949
Leaf_21a,2,4,13.728,24.863
Leaf_21a,2,5,13.613,24.341
Leaf_21a,2,6,11.029,24.437
Leaf_21a,2,7,16.187,24.257
Leaf_21a,2,8,11.257,23.59
Leaf_21a,2,9,15.719,22.686
Leaf_21a,2,10,12.431,24.915
Leaf_21a,2,11,14.938,24.817
Leaf_21a,2,12,13.126,24.465
Leaf_21a,2,13,14.103,24.406
Leaf_21a,2,14,12.711,23.707
Leaf_21a,2,15,14.548,23.785
Leaf_20c,2,1,13.471,17.79
Leaf_20c,2,2,13.308,25.54
Leaf_20c,2,3,12.996,24.865
Leaf_20c,2,4,13.506,24.988
Leaf_20c,2,5,13.157,22.395
Leaf_20c,2,6,10.814,22.247
Leaf_20c,2,7,15.527,22.522
Leaf_20c,2,8,11.098,21.18
Leaf_20c,2,9,15.273,21.545
Leaf_20c,2,10,12.037,23.938
Leaf_20c,2,11,14.306,23.923
Leaf_20c,2,12,12.483,23.131
Leaf_20c,2,13,13.791,23.168
Leaf_20c,2,14,12.237,22.172
Leaf_20c,2,15,14.066,22.072
Leaf_20b,2,1,13.771,18.024
Leaf_20b,2,2,13.527,24.038
Leaf_20b,2,3,13.308,23.912
Leaf_20b,2,4,13.548,23.923
Leaf_20b,2,5,13.481,23.284
Leaf_20b,2,6,11.228,23.204
Leaf_20b,2,7,15.699,23.371
Leaf_20b,2,8,11.762,21.673
Leaf_20b,2,9,15.286,21.799
Leaf_20b,2,10,12.282,23.979
Leaf_20b,2,11,14.679,23.895
Leaf_20b,2,12,13.074,23.603
Leaf_20b,2,13,14.07,23.31
Leaf_20b,2,14,12.763,23.001
Leaf_20b,2,15,14.403,22.395
Leaf_20a,2,1,13.375,15.313
Leaf_20a,2,2,13.118,23.109
Leaf_20a,2,3,12.535,22.235
Leaf_20a,2,4,13.534,22.499
Leaf_20a,2,5,13.111,21.332
Leaf_20a,2,6,10.041,21.49
Leaf_20a,2,7,16.254,21.202
Leaf_20a,2,8,10.711,20.059
Leaf_20a,2,9,15.014,18.902
Leaf_20a,2,10,11.476,22.61
Leaf_20a,2,11,14.98,22.682
Leaf_20a,2,12,12.065,21.397
Leaf_20a,2,13,14.2,21.643
Leaf_20a,2,14,11.724,20.082
Leaf_20a,2,15,14.501,20.483
Leaf_19c,2,1,13.33,17.541
Leaf_19c,2,2,13.475,23.538
Leaf_19c,2,3,13.2,22.756
Leaf_19c,2,4,13.761,22.834
Leaf_19c,2,5,13.494,21.657
Leaf_19c,2,6,11.226,21.682
Leaf_19c,2,7,15.623,21.638
Leaf_19c,2,8,11.636,20.576
Leaf_19c,2,9,15.281,20.541
Leaf_19c,2,10,12.217,22.674
Leaf_19c,2,11,14.594,22.603
Leaf_19c,2,12,12.742,21.888
Leaf_19c,2,13,14.099,22.094
Leaf_19c,2,14,12.586,21.337
Leaf_19c,2,15,14.189,21.643
Leaf_19b,2,1,13.91,16.235
Leaf_19b,2,2,13.497,22.54
Leaf_19b,2,3,13.23,21.762
Leaf_19b,2,4,13.743,22.055
Leaf_19b,2,5,13.62,20.976
Leaf_19b,2,6,11.531,20.817
Leaf_19b,2,7,15.892,21.134
Leaf_19b,2,8,11.836,19.753
